Image,z=0,z=1,z=2,z=3,z=4,z=5,z=6,z=7,z=8
1120.pgm,2,87,359,1139,2058,3229,4933,4357,220
1121.pgm,25,2085,3732,3826,3286,1316,1154,960,0
1122.pgm,0,69,372,1070,5127,5130,3296,1318,2
1123.pgm,2,355,4710,4828,1834,2044,2385,226,0
1124.pgm,8,135,487,1111,1779,5100,7525,239,0
1125.pgm,0,121,168,458,5422,6371,1493,166,2185
1126.pgm,7,460,1590,3569,3356,2271,3383,1331,417
1127.pgm,5,203,1803,1530,2112,3906,4227,2595,3
1128.pgm,0,90,1748,4730,3622,1311,1892,2983,8
1129.pgm,1,60,152,297,356,980,9802,4736,0
113.pgm,0,14,224,1307,3616,4274,4660,2286,3
1130.pgm,12,929,2351,2899,2537,3106,3100,1389,61
1131.pgm,0,316,1039,2320,5010,5815,1731,153,0
1132.pgm,13,1267,4230,3452,3315,2822,1041,49,195
1133.pgm,26,697,1837,2442,4269,5458,1602,48,5
1134.pgm,192,707,1946,3478,4685,2905,834,90,1547
1135.pgm,0,49,1633,4287,3330,1968,2167,2950,0
1136.pgm,0,122,931,1911,6477,4543,2262,138,0
1137.pgm,0,157,430,1110,3728,5101,2166,1596,2096
1138.pgm,0,95,594,1020,2769,5213,4030,2643,20
1139.pgm,1,143,968,1342,1986,4215,6224,1497,8
114.pgm,3,226,757,2212,3917,3535,1674,4055,5
1140.pgm,5,1287,2678,2885,2515,2211,1429,3367,7
1141.pgm,0,57,385,1805,2685,4225,5324,1903,0
1142.pgm,0,8,441,2227,4620,3981,3495,1596,16
1143.pgm,20,1004,2504,4144,5671,1794,1056,191,0
1144.pgm,13,499,1398,2717,3250,2246,2461,3791,9
1145.pgm,0,25,265,877,2927,4554,4650,3083,3
1146.pgm,0,1,57,853,3395,5230,5209,1638,1
1147.pgm,6,295,1298,2084,2382,2375,3637,4302,5
1148.pgm,4,92,640,2595,3201,5563,3857,156,276
1149.pgm,14,575,1720,3492,2297,3088,1750,3438,10
115.pgm,10,797,2532,3850,2466,1743,3406,1580,0
1150.pgm,2,181,987,1942,3068,4887,3489,1823,5
1151.pgm,0,8,86,445,1322,4022,6889,3612,0
1152.pgm,0,107,2347,6130,6291,1367,125,12,5
1153.pgm,0,119,1127,2347,3009,2763,4993,2026,0
1154.pgm,7,213,436,1934,3529,3859,3467,2879,60
1155.pgm,62,850,1280,1610,1153,1064,5426,4933,6
1156.pgm,2,297,4160,8359,2528,961,69,6,2
1157.pgm,0,183,1354,3145,3717,2707,3677,1599,2
1158.pgm,0,17,62,46,37,35,1549,13685,953
1159.pgm,3,163,2411,3949,2653,1828,2485,2875,17
116.pgm,0,8,124,515,2287,7441,5851,105,53
1160.pgm,9,1687,4447,2472,893,873,2854,3133,16
1161.pgm,0,20,323,1167,8380,2721,1952,1819,2
1162.pgm,0,12,186,619,1315,2713,4371,7027,141
1163.pgm,9,1826,2007,2250,2667,2143,2578,2897,7
1164.pgm,11,430,1800,3311,4010,3540,2598,684,0
1165.pgm,0,89,1299,4552,5037,3248,951,200,1008
1166.pgm,0,97,1030,2178,3285,5078,3786,678,252
1167.pgm,8,495,2148,3377,2607,2146,1579,1498,2526
1168.pgm,0,67,531,1106,1043,1559,2740,9298,40
1169.pgm,2,120,2583,8087,4964,607,21,0,0
117.pgm,12,1076,1620,2138,4880,4727,1668,183,80
1170.pgm,0,26,562,2638,5926,3663,2850,719,0
1171.pgm,0,29,851,1846,1527,4706,5120,2305,0
1172.pgm,7,380,1446,2367,2987,2884,2952,3344,17
1173.pgm,0,86,792,2565,4057,3513,3501,1833,37
1174.pgm,1,108,900,2204,2818,3988,3738,2627,0
1175.pgm,18,832,3109,5454,3511,1932,897,225,406
1176.pgm,8,483,2670,3269,3055,2572,2945,1380,2
1177.pgm,0,3,650,4810,5492,3351,1643,428,7
1178.pgm,0,93,350,1516,2158,3630,5423,3214,0
1179.pgm,54,564,1492,2498,3295,2513,2890,1253,1825
118.pgm,21,243,424,1674,3203,4016,4058,2440,305
1180.pgm,0,87,550,2219,3999,2780,5245,1486,18
1181.pgm,0,33,174,529,821,2042,7315,5461,9
1182.pgm,2,124,481,1049,1882,4967,7632,247,0
1183.pgm,1,98,308,4334,2997,3021,4725,853,47
1184.pgm,0,262,3523,4535,2701,2900,911,1546,6
1185.pgm,0,50,400,2115,3962,2665,4858,2333,1
1186.pgm,0,32,50,277,1250,3600,6780,4389,6
1187.pgm,0,161,1164,1349,4520,2779,682,5683,46
1188.pgm,0,0,402,1931,2847,3650,3089,4459,6
1189.pgm,0,60,393,2806,4026,2674,2285,1039,3101
119.pgm,0,23,209,644,1319,2551,6398,5133,107
1190.pgm,1,183,954,1824,4111,5375,597,528,2811
1191.pgm,0,44,583,2312,4811,2752,3781,2101,0
1192.pgm,1,42,455,926,2486,3555,4150,4769,0
1193.pgm,0,28,433,5227,9773,919,4,0,0
1194.pgm,0,2,80,1389,6601,2861,396,4998,57
1195.pgm,0,99,2351,6789,5265,1486,390,4,0
1196.pgm,3,54,187,631,1763,4242,7827,1675,2
1197.pgm,0,146,1198,2893,3361,2999,4548,1239,0
1198.pgm,38,713,494,411,989,1855,4274,7578,32
1199.pgm,0,83,276,336,1015,3953,8320,2398,3
12.pgm,0,10,477,2089,3791,6809,2992,216,0
120.pgm,21,2127,6176,3227,1814,1419,1466,134,0
1200.pgm,0,42,351,2294,6486,3044,2734,1433,0
1201.pgm,25,904,2344,2205,1983,2345,2681,3876,21
1202.pgm,25,1150,2482,3268,3240,3041,2440,735,3
1203.pgm,0,163,1638,3527,4194,3312,2119,1431,0
1204.pgm,1,97,497,1782,3888,2565,3283,1751,2520
1205.pgm,0,29,530,2381,4444,4597,2843,848,712
1206.pgm,0,487,3713,6157,3255,1687,926,159,0
1207.pgm,2,624,2967,2429,2160,1952,3177,3073,0
1208.pgm,5,296,837,1410,3663,2781,3705,3679,8
1209.pgm,0,69,685,1834,5075,5784,2792,145,0
121.pgm,5,117,838,1528,2176,3842,5727,1701,450
1210.pgm,1,68,726,1985,3571,2954,1500,5499,80
1211.pgm,0,97,813,2534,1865,743,1647,6084,2601
1212.pgm,0,5,40,62,150,395,4197,11454,81
1213.pgm,0,0,24,167,704,4774,8017,2692,6
1214.pgm,0,2,496,1238,2903,3688,4597,3360,100
1215.pgm,62,1416,5524,3820,2417,1482,1100,518,45
1216.pgm,6,323,1070,1805,4506,2360,3099,3209,6
1217.pgm,0,36,299,3375,6973,2543,1199,1955,4
1218.pgm,20,554,2118,3074,1775,2414,3045,3122,262
1219.pgm,0,17,43,49,54,126,2596,12950,549
122.pgm,2,53,298,1188,2959,4660,4834,2380,10
1220.pgm,0,0,20,142,271,751,9545,5654,1
1221.pgm,21,406,835,1832,3537,5315,4052,380,6
1222.pgm,0,2,256,1887,3184,3396,3725,3932,2
1223.pgm,25,1153,1023,2076,3906,2385,3767,1683,366
1224.pgm,1,52,955,3585,3991,2242,3292,2239,27
1225.pgm,0,60,607,1743,3927,5013,3646,611,777
1226.pgm,0,26,426,2506,3781,2243,4395,3004,3
1227.pgm,4,116,523,1478,2042,3336,4368,3997,520
1228.pgm,0,4,97,153,539,4557,8543,2489,2
1229.pgm,0,90,1520,4891,5858,2081,1211,733,0
123.pgm,6,79,415,1337,3240,6378,4362,417,150
1230.pgm,2,84,208,582,1607,4199,8029,1673,0
1231.pgm,0,0,123,567,977,1806,5879,7014,18
1232.pgm,0,321,3773,4563,2636,1831,1533,1726,1
1233.pgm,0,17,81,74,47,69,6223,9870,3
1234.pgm,8,1746,4356,2203,815,853,2729,3656,18
1235.pgm,0,182,1133,2174,3523,2109,3467,3794,2
1236.pgm,0,57,668,2174,2718,3126,5491,2109,41
1237.pgm,2,356,1890,2563,2408,2080,2985,4100,0
1238.pgm,0,1482,4359,1389,755,1181,3427,3790,1
1239.pgm,22,427,558,2281,2051,2248,3064,5654,79
124.pgm,1,100,618,1334,1767,2125,3700,6655,84
1240.pgm,0,12,338,1235,1857,5545,5674,1723,0
1241.pgm,15,728,1600,2425,3010,3629,3652,1315,10
1242.pgm,3,219,1388,2376,3287,4648,3884,579,0
1243.pgm,0,77,279,973,3294,4767,2948,1017,3029
1244.pgm,8,757,2899,4454,4339,2930,819,178,0
1245.pgm,0,253,1681,1871,1931,2184,2820,5598,46
1246.pgm,2,362,1458,1919,2673,5992,3424,554,0
1247.pgm,0,110,963,1126,2135,4442,2832,4773,3
1248.pgm,1,77,274,1573,3080,3726,4076,3553,24
1249.pgm,0,122,903,2890,4044,2502,3371,2552,0
125.pgm,4,151,875,2492,3347,4329,3285,1897,4
1250.pgm,0,105,1011,2042,3424,4643,3612,814,733
1251.pgm,0,7,232,1440,3040,5945,5389,330,1
1252.pgm,0,23,387,1540,1711,1760,4682,5591,690
1253.pgm,29,177,260,752,1997,4167,6634,2070,298
1254.pgm,0,27,188,484,1322,3666,7030,3658,9
1255.pgm,3,172,1057,2392,3759,3251,5104,646,0
1256.pgm,0,125,1181,2708,4511,4088,3115,656,0
1257.pgm,0,124,1623,5307,6187,2190,637,316,0
1258.pgm,13,1070,2126,2536,2770,2761,3274,1833,1
1259.pgm,4,431,2122,2611,2418,1641,2976,4181,0
126.pgm,3,1244,6760,3981,1404,1214,1411,367,0
1260.pgm,0,14,204,753,2507,6731,5936,239,0
1261.pgm,18,320,857,1485,3070,5247,4843,540,4
1262.pgm,0,2,290,1124,1510,3197,5059,5184,18
1263.pgm,1,58,923,3781,4745,4730,2098,43,5
1264.pgm,5,323,2577,2941,2829,2430,2723,2551,5
1265.pgm,4,236,631,793,1022,2630,8096,2972,0
1266.pgm,0,62,567,1076,1856,3346,7415,2062,0
1267.pgm,54,1622,2722,2412,2934,3206,3185,249,0
1268.pgm,0,0,5,133,223,595,6203,9159,66
1269.pgm,0,105,865,2388,2844,3954,5574,654,0
127.pgm,1,117,2068,3736,2648,3125,3263,1422,4
1270.pgm,23,816,3161,4173,3631,2742,1563,275,0
1271.pgm,4,318,2073,3020,1958,2758,4463,1769,21
1272.pgm,138,4220,7435,3053,934,250,219,135,0
1273.pgm,0,99,851,1064,440,2426,5084,6407,13
1274.pgm,0,81,2018,4792,3921,2906,2540,123,3
1275.pgm,0,206,1055,2757,5755,4694,1477,440,0
1276.pgm,0,36,308,838,1557,3205,5731,4677,32
1277.pgm,4,221,1493,4206,3063,1817,2549,1965,1066
1278.pgm,11,404,1075,1224,2665,6591,3472,938,4
1279.pgm,0,7,73,1233,6338,4302,1316,28,3087
128.pgm,0,43,272,491,1329,3691,9416,1140,2
1280.pgm,1,14,108,436,955,2103,4719,7881,167
1281.pgm,0,13,544,4645,6286,4034,812,46,4
1282.pgm,0,161,764,866,4597,3083,1125,5771,17
1283.pgm,0,163,2431,3816,2417,1187,2621,3748,1
1284.pgm,17,1395,4716,3893,2315,1843,1752,451,2
1285.pgm,1,460,1769,1960,2089,2185,5144,2139,637
1286.pgm,15,471,1188,1527,2462,4848,5090,783,0
1287.pgm,2,139,387,822,1422,2276,5264,5963,109
1288.pgm,1,136,2527,5998,2324,845,1176,2980,397
1289.pgm,46,2293,5419,4091,2524,1286,485,239,1
129.pgm,1,259,1805,3154,3381,3719,1954,609,1502
1290.pgm,0,2,55,545,2398,4994,6985,1405,0
1291.pgm,13,918,2016,4327,3363,1272,927,608,2940
1292.pgm,0,88,212,903,4056,6537,3677,908,3
1293.pgm,0,5,355,1314,1620,4222,8721,147,0
1294.pgm,0,70,1043,5293,4571,1282,1612,2285,228
1295.pgm,4,355,3829,4567,1575,431,692,4908,23
1296.pgm,2,422,3176,3853,3559,2778,1909,685,0
1297.pgm,3,210,1359,6623,6357,1135,602,95,0
1298.pgm,0,61,440,1227,2159,5435,6348,377,337
1299.pgm,1,161,768,1247,1763,1628,3816,6995,5
13.pgm,1,100,1212,2815,2671,3661,4417,1428,79
130.pgm,0,41,285,1068,4288,5067,3630,1998,7
1300.pgm,3,27,297,1173,3014,4424,4931,2509,6
1301.pgm,0,204,1372,3115,3525,3363,2666,2067,72
1302.pgm,0,15,177,504,1500,3939,8661,1587,1
1303.pgm,46,1108,3002,2951,3383,2991,2430,458,15
1304.pgm,0,2,12,77,404,2000,8893,4990,6
1305.pgm,0,63,2316,6615,2032,273,1842,3242,1
1306.pgm,1,178,1656,3032,2810,3488,4239,955,25
1307.pgm,0,14,1147,7316,5538,1614,229,526,0
1308.pgm,0,115,553,811,983,2388,8254,3277,3
1309.pgm,1,815,4428,3002,577,356,2135,5066,4
131.pgm,0,0,3,79,581,5680,9838,203,0
1310.pgm,0,21,243,1293,3200,4395,4975,2254,3
1311.pgm,13,84,268,918,2132,3807,7155,1992,15
1312.pgm,3,179,959,3839,5281,2269,348,89,3417
1313.pgm,0,28,347,804,2340,4136,3975,4736,18
1314.pgm,0,4,119,449,1061,2690,6846,5203,12
1315.pgm,0,18,1240,6666,6872,1364,214,10,0
1316.pgm,1,121,1030,1678,3388,3504,5491,1171,0
1317.pgm,63,1123,1570,2343,2900,3114,3337,598,1336
1318.pgm,37,1062,2742,2548,2357,2727,1884,3012,15
1319.pgm,1,538,3150,3207,4468,3072,1608,180,160
132.pgm,0,217,2318,2795,1346,1676,3563,4464,5
1320.pgm,66,1051,677,334,1108,5034,7662,452,0
1321.pgm,0,58,494,2275,3778,2977,3414,2221,1167
1322.pgm,0,0,0,25,378,2418,12904,659,0
1323.pgm,77,4156,2903,1776,1475,402,808,4658,129
1324.pgm,11,1889,4545,3646,3071,1193,677,1349,3
1325.pgm,0,91,189,299,641,1813,9375,3972,4
1326.pgm,0,9,464,2116,4039,6836,2711,209,0
1327.pgm,16,429,923,1348,2324,3271,4042,3999,32
1328.pgm,0,114,1491,6251,4133,1489,2381,262,263
1329.pgm,2,279,3784,2950,2211,619,2429,4110,0
133.pgm,0,25,399,2047,7413,5896,482,46,76
1330.pgm,0,28,216,569,756,1896,7266,5642,11
1331.pgm,9,274,1284,2434,2292,3226,5032,1831,2
1332.pgm,0,43,305,633,1514,4328,8782,778,1
1333.pgm,2,314,1671,2228,3283,3879,2934,2071,2
1334.pgm,1,76,431,1148,2206,3754,4349,4415,4
1335.pgm,0,54,126,241,313,334,2907,12171,238
1336.pgm,2,492,2316,3596,3914,3433,2209,422,0
1337.pgm,5,357,701,1138,1470,1561,4099,6836,217
1338.pgm,38,612,2196,3703,3370,1746,2629,1635,455
1339.pgm,1,215,2181,1830,1574,3108,4446,3025,4
134.pgm,0,2,62,704,5047,3516,5090,1961,2
1340.pgm,11,47,294,971,1868,3031,5170,4762,230
1341.pgm,0,0,188,2375,4686,4476,3331,1324,4
1342.pgm,14,351,1891,2817,2535,3008,3526,605,1637
1343.pgm,0,22,170,484,1021,2700,6667,5312,8
1344.pgm,7,200,668,1260,3435,4001,3908,2899,6
1345.pgm,0,62,332,926,1530,3694,5071,4765,4
1346.pgm,0,23,1331,3746,4975,4224,1753,332,0
1347.pgm,0,50,784,2775,4302,2170,3231,3071,1
1348.pgm,0,0,85,94,39,81,8109,7975,1
1349.pgm,0,5,110,256,2281,2908,3686,7101,37
135.pgm,0,26,461,1602,3251,6796,3998,250,0
1350.pgm,0,32,304,1218,1842,2401,6944,3620,23
1351.pgm,0,13,796,5499,5717,2368,1630,361,0
1352.pgm,2,45,317,964,2019,3903,6043,3072,19
1353.pgm,4,103,661,2146,4138,6224,2917,69,122
1354.pgm,80,324,782,2603,3188,3212,3007,2619,569
1355.pgm,0,26,653,2919,4060,2919,4263,1537,7
1356.pgm,0,11,535,1199,1169,2284,9755,1431,0
1357.pgm,3,646,2102,2487,3257,3540,1802,2528,19
1358.pgm,0,290,2017,1570,1346,1563,3237,6353,8
1359.pgm,4,212,590,1946,3415,3605,4811,1798,3
136.pgm,2,524,4288,6499,2041,553,609,742,1126
1360.pgm,10,1400,5157,5804,3113,601,198,101,0
1361.pgm,0,0,130,1005,3544,4428,6427,850,0
1362.pgm,1,0,389,2743,3237,1205,3777,5029,3
1363.pgm,1,1015,3999,3687,2062,3270,2254,96,0
1364.pgm,13,180,384,530,1247,2087,4294,7642,7
1365.pgm,0,10,353,2219,2312,2805,5321,3364,0
1366.pgm,0,121,697,2215,3564,4115,5012,660,0
1367.pgm,49,1731,2494,3205,3269,3251,2068,305,12
1368.pgm,34,2112,3140,2732,2695,2458,2257,878,78
1369.pgm,0,50,815,2216,2404,632,2868,7396,3
137.pgm,4,510,1784,3358,3904,3212,1856,1749,7
1370.pgm,0,40,819,2537,2941,2759,5429,1859,0
1371.pgm,55,988,2373,2982,2343,2066,2610,2945,22
1372.pgm,2,606,1980,3106,3799,1410,1820,3653,8
1373.pgm,50,1062,3838,4844,2484,1407,1263,1434,2
1374.pgm,20,1086,4234,3772,2890,2041,1952,374,15
1375.pgm,3,337,1586,2223,1753,1403,3121,5956,2
1376.pgm,0,27,362,1091,1397,1320,2269,9289,629
1377.pgm,140,6119,7440,2361,317,7,0,0,0
1378.pgm,0,110,1170,2326,2787,2633,3131,4224,3
1379.pgm,0,213,1467,2910,3467,3701,2622,2002,2
138.pgm,4,138,391,1254,2112,3663,6570,2252,0
1380.pgm,0,236,834,1558,2393,2547,3148,5659,9
1381.pgm,0,463,2178,2779,2249,2000,3895,2818,2
1382.pgm,1,195,1170,1992,4296,5909,1921,897,3
1383.pgm,0,351,2872,2972,2780,3101,3072,1233,3
1384.pgm,0,97,562,1328,3082,5274,5069,971,1
1385.pgm,2,229,1625,3894,4551,3985,1299,140,659
1386.pgm,0,169,1952,2280,1873,1303,3285,5519,3
1387.pgm,0,170,1461,2629,2441,2311,3766,3606,0
1388.pgm,11,280,720,1706,3540,3719,3092,3310,6
1389.pgm,1,153,1851,4160,4028,3028,2138,1024,1
139.pgm,1,151,1414,4125,2993,2204,2298,2915,283
1390.pgm,0,19,271,1135,2537,4565,4984,2872,1
1391.pgm,2,144,441,674,966,1684,3867,8555,51
1392.pgm,5,455,3056,4327,3362,1953,1127,2081,18
1393.pgm,0,247,2450,2871,2573,2172,1635,4426,10
1394.pgm,1,242,1231,2198,2986,3924,2327,526,2949
1395.pgm,1,596,2071,3479,4038,2458,1261,2474,6
1396.pgm,0,688,2922,3074,3319,2520,2152,1707,2
1397.pgm,7,914,3583,3210,2370,1669,1384,3241,6
1398.pgm,37,724,704,2146,5291,4514,2248,411,309
1399.pgm,17,1346,2985,2465,3727,2734,1830,1273,7
14.pgm,2,86,290,1606,2581,4227,4515,3076,1
140.pgm,0,1,282,1276,1621,3758,5326,4098,22
1400.pgm,274,5159,5236,3003,1418,692,501,101,0
1401.pgm,7,524,1135,2627,3035,3362,4076,1143,475
1402.pgm,0,30,2324,6767,2373,1612,1921,1352,5
1403.pgm,1,227,1326,1973,2616,2947,3600,3694,0
1404.pgm,0,142,880,1804,2733,2182,4535,4107,1
1405.pgm,5,839,3521,3530,1811,1470,2134,3072,2
1406.pgm,6,488,3604,2945,2038,1323,3651,2327,2
1407.pgm,2,114,577,1508,3237,6685,4141,112,8
1408.pgm,0,196,908,1356,3149,3334,4592,2848,1
1409.pgm,2,249,1383,2216,2997,2345,3006,4183,3
141.pgm,2,39,121,281,777,2256,8331,4494,83
1410.pgm,0,224,2156,4866,2722,905,2383,3123,5
1411.pgm,0,119,1380,1596,1567,2365,5422,3930,5
1412.pgm,1,441,2012,2865,2585,2910,3831,1725,14
1413.pgm,0,3,378,689,922,1653,7589,5146,4
1414.pgm,2,157,1121,3126,4062,4309,2819,788,0
1415.pgm,0,41,445,1350,2480,3388,3445,3905,1330
1416.pgm,1,208,1293,4325,5132,3106,2275,44,0
1417.pgm,4,16,97,499,4422,9751,1586,9,0
1418.pgm,0,43,210,368,2789,10026,2945,3,0
